name	weight
지우	35830
서준	31612
서윤	30148
도윤	28641
민준	28507
하윤	26828
서연	26377
하준	26238
연우	26190
지안	26008
시우	24693
예준	23732
지유	22598
하은	22283
주원	22217
지호	21872
서현	21561
민서	20678
지아	20291
서진	20207
서아	19868
윤서	19665
도현	19059
지원	18870
수아	18867
지민	18810
하린	18714
하율	18523
준우	18489
채원	18344
지후	18243
시윤	18081
서우	17860
선우	17360
은우	17262
유준	17151
다은	16957
준서	16317
건우	16285
지윤	16192
소율	16148
우진	16115
은서	15953
예린	15489
이준	15456
지율	15440
현우	15425
지훈	14461
유나	14442
소윤	14434
수현	14160
예은	13766
시아	13531
아린	13387
시현	13313
시은	13044
예나	12931
아윤	12872
채은	12668
윤우	12557
윤아	12404
다온	12155
예원	12105
이안	11824
예서	11738
수빈	11639
유주	11596
정우	11570
서율	11331
아인	11328
민재	11318
수호	11258
주아	11162
다인	11002
유진	10956
연서	10694
유찬	10275
서하	10129
현준	10124
채윤	10103
나은	10028
채아	9910
승우	9907
나윤	9877
이서	9843
이현	9796
현서	9471
서은	9311
가은	9220
하연	9131
시후	9062
지환	8658
진우	8466
소은	8286
승현	7986
다연	7978
지한	7966
예진	7869
다현	7772
재윤	7770
수연	7762
태윤	7732
은호	7621
준혁	7615
시연	7606
민지	7603
우주	7569
한결	7457
사랑	7451
재이	7422
서영	7409
시온	7319
시원	7212
로운	7200
수민	7130
다윤	7096
승민	7008
율	6962
세아	6930
나연	6910
윤호	6839
도하	6751
은채	6706
민성	6561
은찬	6409
유빈	6394
예지	6356
지은	6347
유하	6301
하진	6300
준영	6213
우빈	6201
채린	5745
윤재	5712
주하	5523
라온	5500
민우	5379
소이	5262
준	5249
리아	5228
예빈	5176
승아	5068
민찬	5049
이든	4979
소민	4965
하람	4940
하온	4876
태오	4870
민호	4858
로아	4834
재원	4823
시안	4754
하영	4752
민규	4745
봄	4737
채이	4626
재민	4560
민아	4558
주안	4555
태리	4492
설아	4448
세은	4424
서희	4314
하민	4296
윤지	4227
승준	4188
아현	4119
지성	4092
도훈	4090
도아	3974
민주	3925
지온	3915
준호	3823
동현	3808
재현	3798
지현	3751
지수	3734
지오	3731
도율	3704
윤슬	3689
소연	3675
혜원	3646
태양	3637
도준	3598
예성	3594
가윤	3588
이나	3542
주호	3462
태민	3457
유안	3452
민혁	3449
아영	3445
재하	3349
은성	3311
도연	3283
준수	3245
성민	3226
이한	3222
태현	3216
시율	3208
규민	3204
윤성	3168
태이	3166
성준	3154
하랑	3081
이솔	3051
시완	3046
성현	2991
라희	2890
지완	2866
민채	2753
도겸	2725
정민	2717
도영	2709
나현	2668
루아	2660
민석	2651
준희	2640
하늘	2459
강민	2425
규리	2419
건	2396
하리	2391
단우	2381
예찬	2296
유정	2291
지연	2238
예림	2231
태린	2226
로이	2222
하나	2167
태희	2160
민정	2117
연아	2090
단아	2069
가온	2064
준성	2019
이도	2002
현수	1978
해나	1959
승호	1891
정현	1879
서후	1822
도원	1781
서호	1774
태하	1766
성빈	1763
도경	1715
윤	1697
우현	1645
선호	1631
솔	1574
승원	1554
하루	1554
민경	1534
가현	1515
건희	1487
유이	1464
태준	1461
가연	1452
이찬	1442
소현	1430
아준	1391
수진	1383
윤하	1372
세연	1329
주은	1318
시환	1266
나율	1240
현지	1181
민수	1171
보민	1171
정훈	1134
태훈	1110
이진	1098
원준	1093
태영	1091
현성	1055
유현	1035
나경	997
은지	994
정원	990
리안	968
도진	953
설	950
지효	947
해린	906
재인	901
연준	882
유건	875
시호	865
시훈	839
효주	839
유은	825
현	798
해인	792
이담	789
로건	768
새봄	724
나영	722
주영	714
정후	691
현민	681
경민	670
은하	665
도은	624
도운	589
가영	558
제이	541
지영	491
혜인	481
소희	479
민기	478
보경	478
지혜	464
주연	463
다혜	451
현아	451
채연	451
한별	448
예주	447
수인	445
유림	442
예슬	441
은솔	431
수정	429
수지	429
은유	420
동건	409
다솜	405
채영	405
상현	401
소영	401
승연	400
채민	400
유리	396
민하	396
혜린	391
효린	391
재훈	390
효은	390
건호	388
주희	384
유민	381
재영	379
채현	376
주환	375
다영	375
윤후	368
다빈	368
태호	365
태연	363
태경	361
소미	359
현빈	358
소정	358
찬영	356
현호	354
은재	354
승훈	351
성훈	350
현진	349
재준	346
재혁	345
세현	345
연재	345
이재	343
우재	342
정은	342
준석	339
은빈	339
가인	338
동하	337
범준	337
하성	336
승윤	332
서정	332
다희	331
민건	327
동욱	326
영준	326
혜민	324
형준	318
예솔	316
서원	316
주완	316
아진	315
아라	315
혜진	313
석현	312
정윤	311
현승	310
호준	310
현정	309
고은	307
연주	306
정연	305
은별	302
우성	300
성우	299
세빈	299
은비	298
다율	297
연지	296
희원	295
라엘	295
슬아	294
유라	294
유담	293
가빈	292
온유	292
태우	292
태은	292
별	292
라윤	290
은혜	290
성윤	288
민영	288
하음	288
효원	286
은율	285
찬우	284
성진	284
주혁	282
수혁	282
상민	280
지혁	280
보미	280
승환	279
준후	279
세준	278
예담	277
다원	277
승빈	276
진호	276
은진	276
준형	275
주현	273
여진	273
승유	273
윤찬	272
세인	272
태율	271
승재	270
서인	270
효민	270
다경	268
현석	267
지인	267
영민	266
윤주	266
아연	265
나린	264
지운	264
서이	264
혜빈	263
세훈	262
리원	262
다미	261
라임	261
동규	260
승찬	260
현주	260
동훈	258
영은	258
동혁	257
은혁	256
대현	256
윤정	256
우영	255
은설	255
찬희	254
한나	254
도희	253
예인	252
효준	252
지용	251
재희	250
동우	249
용준	249
아율	248
동윤	248
승후	248
진혁	247
효빈	247
서빈	247
단비	247
성원	246
주한	246
소담	246
송현	245
태환	244
산	244
채희	244
재우	243
정인	243
가희	242
연수	241
상우	240
혜림	238
은준	237
연호	237
지웅	236
은수	236
효정	236
건후	235
강우	232
강현	232
찬	232
해준	231
해솔	229
유경	229
희주	229
세린	228
진영	228
재호	227
서린	226
하엘	226
혜윤	225
여준	224
승주	223
성호	223
시헌	223
도이	222
희진	221
하이	221
호진	220
성은	220
채빈	220
가을	220
미소	218
준현	217
연희	217
민솔	216
윤진	215
규현	215
영서	214
우찬	214
재은	213
수영	213
채율	213
동준	212
이설	211
상윤	211
승희	209
규빈	208
가람	208
하빈	207
인성	206
소원	206
호영	205
준범	205
경준	204
서안	204
하임	204
로하	204
로희	204
효진	203
세영	203
민선	203
민결	203
주형	202
루나	202
진서	198
아름	198
한율	198
도건	197
제인	197
시하	197
태성	196
준원	196
